InputID,TargetID,Distance
n986159455,"0",117090.902956462
n1526415129,"0",68266.5327888989
n1526415129,"1",68266.5327888989
n1595824377,"0",120257.952593319
n1595824377,"1",120257.952593319
n1777296195,"0",30522.5428785612
n1777296195,"1",30522.5428785612
n2192994146,"0",33287.4041491668
n2192994146,"1",33287.4041491668
n2365019841,"0",22283.3710790655
n2365019841,"1",22283.3710790655
n2370913720,"0",18004.2343577034
n2370913720,"1",18004.2343577034
n2390244331,"1",56817.1379148235
n2390244331,"0",56817.1379148235
n2390244331,"0",56817.1379148235
n2390244331,"1",56817.1379148235
n2390244351,"1",54391.7253509305
n2390244351,"0",54391.7253509305
n2390244351,"0",54391.7253509305
n2390244351,"1",54391.7253509305
n6514340322,"0",124309.40950322
n6514340322,"1",124309.40950322
n6604403729,"0",55719.3504553875
n6604403729,"1",55719.3504553875
n6920814940,"0",25395.6895421214
n6920814940,"1",25395.6895421214
n7604091960,"0",55894.4866705054
n7604091960,"1",55894.4866705054
n31297224,"0",11114.1888192225
n31297224,"1",11114.1888192225
n40843034,"0",15793.292780347
n40843034,"1",15793.292780347
n51972789,"0",18042.3107063956
n51972789,"0",18042.3107063956
n51972789,"1",18042.3107063956
n51972789,"1",18042.3107063956
n59903502,"0",84011.425158824
n59903502,"1",84011.425158824
n59905163,"0",94387.857812743
n59905163,"1",94387.857812743
n59905163,"0",94387.857812743
n59905163,"1",94387.857812743
n76470550,"0",60822.4150145102
n76470550,"1",60822.4150145102
n82761400,"0",12190.8382906215
n82761400,"1",12190.8382906215
n82762322,"0",13521.9305823251
n82762322,"1",13521.9305823251
n85726438,"0",98842.0128562661
n85726438,"1",98842.0128562661
n90253800,"0",97208.4662786735
n90253800,"1",97208.4662786735
n150932481,"1",72020.4477967627
n150932481,"0",72020.4477967627
n150932700,"1",128523.714982577
n150932700,"0",128523.714982577
n150932700,"1",128523.714982577
n150934599,"0",82378.5815674898
n150934599,"1",82378.5815674898
n150934847,"1",43285.2418770269
n150934847,"0",43285.2418770269
n150935685,"0",106681.186164895
n150935685,"1",106681.186164895
n150937045,"0",83598.225002133
n150937045,"1",83598.225002133
n150937074,"0",144619.383145599
n150937074,"1",144619.383145599
n150937785,"0",111796.191596674
n150937785,"1",111796.191596674
n150937813,"1",73851.3199069222
n150937813,"0",73851.3199069222
n150937813,"0",73851.3199069222
n150937813,"1",73851.3199069222
n150937852,"1",59387.2228271104
n150937852,"0",59387.2228271104
n150938219,"0",67546.4384327555
n150938219,"1",67546.4384327555
n150938219,"0",67546.4384327555
n150938219,"1",67546.4384327555
n150938709,"0",25046.9374630461
n150938709,"1",25046.9374630461
n150940083,"1",70497.2792595226
n150940083,"0",70497.2792595226
n150940549,"1",6666.54130408635
n150940549,"0",6666.54130408635
n150943073,"0",47784.6275247369
n150943073,"1",47784.6275247369
n150943073,"0",47784.6275247369
n150943073,"1",47784.6275247369
n150943597,"0",114020.641028032
n150943597,"1",114020.641028032
n150943639,"0",44044.601186541
n150943639,"1",44044.601186541
n150943772,"0",73729.382669549
n150943772,"1",73729.382669549
n150944909,"0",116478.224381713
n150944909,"1",116478.224381713
n150946057,"0",36579.108217853
n150946057,"1",36579.108217853
n150947582,"0",84795.2680081762
n150947582,"1",84795.2680081762
n150947900,"0",27791.9299861447
n150947900,"1",27791.9299861447
n150947996,"0",21716.519018947
n150947996,"1",21716.519018947
n150950595,"0",47358.6088711386
n150950595,"1",47358.6088711386
n150950595,"0",47358.6088711386
n150950595,"1",47358.6088711386
n150950805,"1",12420.1338400937
n150950805,"0",12420.1338400937
n150951233,"0",57992.0109780898
n150951233,"1",57992.0109780898
n150951233,"0",57992.0109780898
n150951233,"1",57992.0109780898
n150951338,"0",189817.773032656
n150951338,"1",189817.773032656
n150951338,"1",189817.773032656
n150951338,"0",189817.773032656
n150951552,"1",69987.7862497503
n150951552,"0",69987.7862497503
n150951870,"1",68790.8511738392
n150951870,"0",68790.8511738392
n150952019,"1",106154.612489161
n150952019,"0",106154.612489161
n150952844,"0",54570.8851824661
n150952844,"1",54570.8851824661
n150953370,"1",95661.3938131563
n150953370,"0",95661.3938131563
n150953676,"1",85439.2363355163
n150953676,"0",85439.2363355163
n150953739,"0",128347.766089081
n150953739,"1",128347.766089081
n150953749,"1",134358.944161857
n150953749,"0",134358.944161857
n150954819,"1",229560.591934236
n150954819,"0",229560.591934236
n150954841,"0",10542.666953042
n150954841,"1",10542.666953042
n150955066,"0",19478.3388695629
n150955066,"1",19478.3388695629
n150955950,"1",51631.8879294914
n150955950,"0",51631.8879294914
n150956255,"1",109801.516467832
n150956255,"0",109801.516467832
n150956993,"1",25922.9600163517
n150956993,"0",25922.9600163517
n150957091,"1",115182.41368586
n150957091,"0",115182.41368586
n150957384,"0",141507.403185842
n150957384,"1",141507.403185842
n150958512,"0",66108.0482693737
n150958512,"1",66108.0482693737
n150959247,"1",82479.1848438775
n150959247,"0",82479.1848438775
n150960504,"0",31697.3187081426
n150960504,"1",31697.3187081426
n150961846,"1",118834.510768793
n150961846,"0",118834.510768793
n150962155,"1",94607.3321027198
n150962155,"0",94607.3321027198
n150964430,"0",143152.886313347
n150964430,"1",143152.886313347
n150964743,"1",32537.7362619528
n150964743,"1",32537.7362619528
n150964743,"0",32537.7362619528
n150965065,"1",78429.1681137556
n150965065,"0",78429.1681137556
n150966460,"0",55785.5806448808
n150966460,"1",55785.5806448808
n150967464,"1",37852.0224043815
n150967464,"0",37852.0224043815
n150968745,"0",13782.7779648756
n150968745,"1",13782.7779648756
n150969155,"1",16876.9083412865
n150969155,"0",16876.9083412865
n150970538,"0",18609.5936618236
n150970538,"1",18609.5936618236
n150971562,"1",152739.821491355
n150971562,"0",152739.821491355
n150971818,"0",104681.22646252
n150971818,"1",104681.22646252
n150972103,"0",9710.06926442469
n150972103,"1",9710.06926442469
n150974441,"1",109910.44076418
n150974441,"0",109910.44076418
n150976037,"0",51793.6840123757
n150976037,"1",51793.6840123757
n150976419,"1",61521.1676228605
n150976419,"0",61521.1676228605
n150977178,"1",46243.2190139215
n150977178,"1",46243.2190139215
n150977178,"0",46243.2190139215
n150977178,"0",46243.2190139215
n150977236,"1",158783.107196455
n150977236,"0",158783.107196455
n150977426,"0",99040.9001679518
n150977426,"1",99040.9001679518
n150977999,"0",93096.4308810496
n150977999,"1",93096.4308810496
n150978669,"0",39091.8078178992
n150978669,"1",39091.8078178992
n150978857,"0",21628.9888093014
n150978857,"1",21628.9888093014
n150980858,"0",59903.5348174631
n150980858,"1",59903.5348174631
